dataset,learn_rate,max_depth,stop_iter,f1_score_macro,f1_score_micro,acc,ham
he,0.5,3,12,0.3698501140436624,0.6672535211267605,0.5316666666666666,0.1575
he,0.1,3,49,0.39876675239138,0.7144046627810158,0.5983333333333334,0.14291666666666664
he,0.30000000000000004,3,23,0.3808335656856591,0.7029288702928871,0.5783333333333334,0.14791666666666667
he,0.8,4,10,0.4183225332293655,0.7319838056680162,0.615,0.13791666666666666
he,0.8,3,10,0.4228335273725782,0.7285945072697899,0.61,0.14
re,0.1,3,95,0.6234516405293088,0.8477257745550428,0.6866666666666666,0.09625
he,1.0,3,5,0.4415864292013751,0.7386541471048512,0.6316666666666667,0.13916666666666666
re,0.5,3,23,0.6466833663568443,0.843501326259947,0.6766666666666666,0.09833333333333333
re,0.8,3,10,0.6403358465053566,0.8425865447419987,0.675,0.10041666666666668
re,0.8,4,17,0.6810090961720707,0.8389662027833003,0.6583333333333333,0.10125
re,1.0,4,9,0.6845888805727549,0.8481675392670156,0.685,0.09666666666666666
re,1.0,3,17,0.6943172030381333,0.8457446808510639,0.6833333333333333,0.09666666666666666
re,0.30000000000000004,3,36,0.6084210392867351,0.8401826484018264,0.6833333333333333,0.10208333333333333
he,1.2,3,6,0.4016691779558571,0.7290167865707434,0.6166666666666667,0.14125
re,1.2,3,14,0.7251013298822003,0.8556634304207121,0.6966666666666667,0.09291666666666666
re,1.4,3,11,0.691354449978339,0.8576947842884739,0.7066666666666667,0.09208333333333334
he,1.0,2,5,0.4166086669451203,0.7332293291731669,0.63,0.1425
re,1.0,2,7,0.6006194888604066,0.8295231874591771,0.6633333333333333,0.10875
he,1.0,4,4,0.4210182180370394,0.7332293291731669,0.63,0.1425
re,1.0,4,14,0.7065483107666903,0.8620013080444735,0.7,0.08791666666666667
he,1.0,5,6,0.4622850729876206,0.7424483306836248,0.6266666666666667,0.135
re,1.0,5,8,0.7000839185664502,0.849476439790576,0.6883333333333334,0.09583333333333334
he,1.0,6,5,0.4521818699372862,0.7164906580016248,0.5916666666666667,0.14541666666666667
re,1.0,6,6,0.6892867040594314,0.8515111695137975,0.6833333333333333,0.09416666666666666
he,1.0,7,5,0.4488982470149616,0.7247557003257329,0.61,0.14083333333333334
re,1.0,7,9,0.7001634814033315,0.8318936877076412,0.6533333333333333,0.10541666666666667
he,1.0,8,4,0.4323548970542289,0.7284243863816311,0.62,0.14291666666666664
re,1.0,8,5,0.6091333567934722,0.8220064724919093,0.6466666666666666,0.11458333333333333
yeast,1.0,5,5,0.2641349118018029,0.539693841224635,0.08872901678657075,0.2214799588900309
yeast,0.5,3,17,0.2208968615181827,0.46271050521251,0.05275779376498802,0.22953066118533744
yeast,0.8,8,8,0.29529415749767346,0.5000000000000001,0.09112709832134293,0.2264474134977732
yeast,0.8,5,4,0.6137921844124419,0.7200520833333334,0.3118440779610195,0.32233883058470764
yeast,1.0,3,3,0.6097018507822737,0.7563340631842352,0.3478260869565217,0.2919790104947526
yeast,0.5,8,8,0.6136277189449064,0.7048252911813645,0.3343328335832084,0.33245877061469264
yeast,0.1,3,40,0.5980963494263093,0.7540453074433657,0.3733133433283358,0.2848575712143928
Delicious,0.8,10,24,0.02674511895961375,0.1375949590719039,0.0027941633033219497,0.01850079100056439
